Личный номер,ФИО,Группа,Финансирование,Пол,Город постоянной регистрации
22И2432,г-жа Абрамова Евпраксия Тимуровна,ИКБО-24-20,Б,Ж,Воронеж
21И7658,Орлов Евстигней Владленович,ИКБО-24-20,К,М,Екатеринбург
22И9772,Ираклий Денисович Рожков,ИКБО-24-20,Б,М,Тольятти
20И5647,Никон Фёдорович Кузьмин,ИКБО-24-20,Б,М,Нижний Новгород
22И7510,Феофан Тихонович Субботин,ИКБО-24-20,Б,М,Рязань
23И3899,Зуева Вероника Ильинична,ИКБО-24-20,К,Ж,Луганск
23И6064,Анжела Вениаминовна Устинова,ИКБО-24-20,К,Ж,Волгоград
21И4986,Авдеева Александра Кирилловна,ИКБО-24-20,Б,Ж,Владивосток
21И4022,Мясников Андрей Афанасьевич,ИКБО-24-20,К,М,Москва
23И5082,Филарет Ааронович Анисимов,ИКБО-24-20,Б,М,Тольятти
23И3592,Наина Владиславовна Карпова,ИКБО-24-20,К,Ж,Тольятти
22И6577,Романов Софрон Георгиевич,ИКБО-24-20,К,М,Саратов
23И4432,Кириллова Елизавета Валериевна,ИКБО-24-20,Б,Ж,Липецк
20И1423,Назарова Анжела Макаровна,ИКБО-24-20,К,Ж,Бийск
23И2890,Турова Екатерина Леоновна,ИКБО-24-20,К,Ж,Сургут
20И0894,Авдеева Лора Харитоновна,ИКБО-24-20,К,Ж,Тверь
20И5761,Татьяна Юрьевна Степанова,ИКБО-24-20,К,Ж,Ульяновск
22И9527,Вера Михайловна Щукина,ИКБО-24-20,Б,Ж,Омск
23И7231,Пономарев Корнил Устинович,ИКБО-24-20,Б,М,Ижевск
22И0940,Ия Егоровна Романова,ИКБО-24-20,Б,Ж,Калуга
21И6384,Глафира Артемовна Наумова,ИКБО-24-20,К,Ж,Пермь
23И8093,Тетерина Акулина Ильинична,ИКБО-24-20,Б,Ж,Донецк
23И4853,Филиппова Лукия Владимировна,ИКБО-24-20,К,Ж,Новокузнецк
20И0988,Феврония Максимовна Попова,ИКБО-24-20,Б,Ж,Нижневартовск
22И1935,Владимирова Лариса Наумовна,ИКБО-24-20,Б,Ж,Владивосток
23И0611,Савелий Еремеевич Федотов,ИКБО-24-20,Б,М,Набережные Челны
23И6049,Арефий Ефремович Кулаков,ИКБО-24-20,К,М,Санкт-Петербург
22И8173,Нестеров Роман Бориславович,ИКБО-24-20,Б,М,Ангарск
23И4712,Исаков Харлампий Ефстафьевич,ИЭБО-68-21,К,М,Брянск
23И6903,тов. Герасимова Лукия Львовна,ИЭБО-68-21,Б,Ж,Астрахань
20И1057,Наталья Викторовна Владимирова,ИЭБО-68-21,К,Ж,Ангарск
23И7517,Трифон Глебович Титов,ИЭБО-68-21,Б,М,Ульяновск
23И9775,Эдуард Борисович Ковалев,ИЭБО-68-21,Б,М,Пермь
23И1146,Сазонова Марфа Вадимовна,ИЭБО-68-21,К,Ж,Сургут
22И0119,Исаева Юлия Рубеновна,ИЭБО-68-21,К,Ж,Сургут
23И9983,Турова Антонина Вадимовна,ИЭБО-68-21,Б,Ж,Петрозаводск
22И4654,Жданова Василиса Федоровна,ИЭБО-68-21,К,Ж,Киров
20И4442,Зосима Валерианович Лебедев,ИЭБО-68-21,Б,М,Новороссийск
22И3168,Антонов Нифонт Игнатьевич,ИЭБО-68-21,Б,М,Волгоград
23И9744,Агата Васильевна Кудряшова,ИЭБО-68-21,К,Ж,Кемерово
21И3591,Евфросиния Ивановна Журавлева,ИЭБО-68-21,К,Ж,Челябинск
23И6972,Голубева Лора Тимуровна,ИЭБО-68-21,К,Ж,Волгоград
20И3606,Романова Мария Ефимовна,ИЭБО-68-21,К,Ж,Ростов-на-Дону
22И6080,Харлампий Ануфриевич Блинов,ИЭБО-68-21,Б,М,Киров
20И9872,Блинов Сила Харлампьевич,ИЭБО-68-21,К,М,Тула
22И5253,Поляков Тит Зиновьевич,ИЭБО-68-21,Б,М,Смоленск
21И0541,Лаврентьев Пимен Марсович,ИЭБО-68-21,К,М,Ульяновск
23И5004,Лаврентьев Андрей Данилович,ИЭБО-68-21,Б,М,Пермь
22И2296,Полина Леоновна Фокина,ИЭБО-68-21,К,Ж,Владимир
22И3352,Горбачева Валерия Филипповна,ИЭБО-68-21,К,Ж,Липецк
21И8423,Сергеева Зинаида Сергеевна,ИЭБО-68-21,К,Ж,Челябинск
21И3244,Жуков Игорь Бенедиктович,ИЭБО-68-21,Б,М,Киров
21И1367,Аникита Виленович Матвеев,ИЭБО-68-21,К,М,Новосибирск
22И3923,Гусев Николай Артемьевич,ИЭБО-68-21,Б,М,Новосибирск
21И6242,Аверкий Аксёнович Зайцев,ИЭБО-68-21,К,М,Нижний Новгород
23И4333,тов. Мишин Кондратий Валерианович,ИЭБО-68-21,Б,М,Самара
22И5637,Третьякова Антонина Альбертовна,ИЭБО-68-21,К,Ж,Таганрог
20И3057,Олимпиада Игоревна Меркушева,ИЭБО-68-21,Б,Ж,Калуга
23И3954,Боян Тихонович Захаров,ИНБО-03-21,Б,М,Белгород
22И7920,Иванна Макаровна Красильникова,ИНБО-03-21,Б,Ж,Архангельск
22И2721,Василий Викентьевич Кузнецов,ИНБО-03-21,К,М,Ростов-на-Дону
23И9932,Данила Дмитриевич Щербаков,ИНБО-03-21,Б,М,Краснодар
23И2461,Варвара Андреевна Захарова,ИНБО-03-21,К,Ж,Санкт-Петербург
20И8408,Антип Богданович Васильев,ИНБО-03-21,К,М,Тула
21И8989,Сидорова Дарья Анатольевна,ИНБО-03-21,К,Ж,Уфа
20И4110,Прасковья Павловна Ефимова,ИНБО-03-21,Б,Ж,Новокузнецк
21И0534,Сергеева Полина Михайловна,ИНБО-03-21,К,Ж,Тюмень
20И1140,Татьяна Захаровна Нестерова,ИНБО-03-21,Б,Ж,Бийск
21И7097,Устинов Август Тимурович,ИНБО-03-21,Б,М,Владивосток
21И1896,Гурьева Наина Захаровна,ИНБО-03-21,Б,Ж,Сыктывкар
21И1972,Евсеева Вера Максимовна,ИНБО-03-21,Б,Ж,Владикавказ
21И6798,Дроздова Елена Павловна,ИНБО-03-21,Б,Ж,Магнитогорск
22И9738,Константинова Ираида Кирилловна,ИНБО-03-21,К,Ж,Москва
22И3266,Миронова Алина Вячеславовна,ИНБО-03-21,Б,Ж,Калуга
20И1073,Октябрина Олеговна Беспалова,ИНБО-03-21,К,Ж,Владикавказ
23И9832,Борисова Акулина Тимофеевна,ИНБО-03-21,Б,Ж,Москва
21И1558,Беспалов Рюрик Фокич,ИНБО-03-21,К,М,Бийск
21И5662,Андрей Филиппович Ефимов,ИНБО-03-21,К,М,Барнаул
20И5141,Шубина Регина Юльевна,ИНБО-03-21,К,Ж,Луганск
20И0503,Остап Гордеевич Молчанов,ИНБО-03-21,Б,М,Хабаровск
21И7529,Федорова Лукия Юрьевна,ИНБО-03-21,Б,Ж,Новороссийск
23И2522,Сигизмунд Власович Алексеев,ИНБО-03-21,К,М,Мурманск
21И4841,Панфилова Фаина Георгиевна,ИНБО-03-21,К,Ж,Кемерово
21И7935,Зимина Оксана Макаровна,ИНБО-03-21,Б,Ж,Саратов
22И7609,Михайлова София Сергеевна,ИНБО-03-21,Б,Ж,Липецк
21И4496,Василий Ааронович Ершов,ИНБО-03-21,К,М,Москва
20И7029,Аристарх Дорофеевич Доронин,ИНБО-03-21,К,М,Владивосток
23И6525,Лора Леонидовна Кононова,ИНБО-03-21,К,Ж,Курган
21И6460,тов. Костин Терентий Венедиктович,ИЛБО-29-23,К,М,Курган
21И5448,Ладимир Витальевич Емельянов,ИЛБО-29-23,К,М,Хабаровск
23И4170,Егоров Вышеслав Анисимович,ИЛБО-29-23,Б,М,Новороссийск
23И2895,Доронина Евфросиния Ильинична,ИЛБО-29-23,К,Ж,Калуга
20И1131,Зинаида Егоровна Ефимова,ИЛБО-29-23,Б,Ж,Кострома
22И1236,Беспалова Евдокия Федоровна,ИЛБО-29-23,Б,Ж,Саратов
23И0909,Королева Вера Ниловна,ИЛБО-29-23,Б,Ж,Архангельск
22И6617,Устин Анисимович Гаврилов,ИЛБО-29-23,Б,М,Ростов-на-Дону
22И0976,Мирослав Филиппович Мартынов,ИЛБО-29-23,К,М,Саратов
20И7400,Фокин Стоян Бориславович,ИЛБО-29-23,Б,М,Саранск
21И3258,Антонина Александровна Агафонова,ИЛБО-29-23,Б,Ж,Воронеж
22И3687,Анастасия Наумовна Моисеева,ИЛБО-29-23,Б,Ж,Чебоксары
23И4999,Елизавета Егоровна Маслова,ИЛБО-29-23,К,Ж,Бийск
23И3484,Евдокия Алексеевна Цветкова,ИЛБО-29-23,К,Ж,Уфа
23И0166,Фролов Степан Марсович,ИЛБО-29-23,Б,М,Симферополь
23И9712,Надежда Степановна Павлова,ИЛБО-29-23,К,Ж,Мурманск
22И3572,Исидор Данилович Коновалов,ИЛБО-29-23,К,М,Волгоград
20И6099,Игнатова Дарья Богдановна,ИЛБО-29-23,Б,Ж,Астрахань
22И9744,Евгения Ниловна Тарасова,ИЛБО-29-23,Б,Ж,Санкт-Петербург
22И0887,Феврония Ильинична Гаврилова,ИЛБО-29-23,Б,Ж,Омск
23И4155,Чернова Агата Михайловна,ИЛБО-29-23,Б,Ж,Мариуполь
23И0978,Бобров Александр Денисович,ИЛБО-29-23,Б,М,Владивосток
21И9935,Харлампий Тихонович Кабанов,ИЛБО-29-23,К,М,Калининград
22И4991,Соболева Антонина Артемовна,ИЛБО-29-23,К,Ж,Луганск
23И3241,тов. Власов Родион Владиленович,ИЛБО-29-23,К,М,Таганрог
20И6540,София Сергеевна Попова,ИЛБО-29-23,Б,Ж,Чебоксары
23И8559,Исаев Сократ Антонович,ИЛБО-29-23,Б,М,Красноярск
23И3123,Герасим Тарасович Суханов,ИЛБО-29-23,Б,М,Брянск
21И7953,Фомичева Акулина Ждановна,ИЛБО-29-23,К,Ж,Москва
20И7565,Трофим Борисович Киселев,ИЛБО-29-23,Б,М,Екатеринбург
20И8161,Чернова Акулина Ниловна,ИНБО-01-20,К,Ж,Ижевск
20И0884,Веселов Матвей Арсенович,ИНБО-01-20,Б,М,Чита
21И0379,Викентий Александрович Коновалов,ИНБО-01-20,К,М,Иркутск
21И8728,Горбачева Лукия Никифоровна,ИНБО-01-20,К,Ж,Оренбург
22И7252,Беспалов Флорентин Ааронович,ИНБО-01-20,К,М,Тула
23И5892,Семен Харитонович Жуков,ИНБО-01-20,К,М,Кострома
20И3769,Кондратьев Тихон Трифонович,ИНБО-01-20,К,М,Кемерово
23И9275,Игнатьева Майя Тарасовна,ИНБО-01-20,К,Ж,Владимир
22И9631,тов. Орлова Пелагея Аркадьевна,ИНБО-01-20,К,Ж,Санкт-Петербург
21И1497,Евфросиния Наумовна Соловьева,ИНБО-01-20,Б,Ж,Архангельск
20И7677,Петухов Боян Федосеевич,ИНБО-01-20,Б,М,Ярославль
22И3175,Калинина Майя Антоновна,ИНБО-01-20,К,Ж,Петрозаводск
20И9868,Гришина Любовь Альбертовна,ИНБО-01-20,Б,Ж,Новокузнецк
23И2916,Феврония Владимировна Суханова,ИНБО-01-20,Б,Ж,Оренбург
21И1978,Нонна Аркадьевна Самойлова,ИНБО-01-20,Б,Ж,Нижневартовск
21И8101,Устинов Адриан Венедиктович,ИНБО-01-20,Б,М,Симферополь
20И7868,Красильникова Олимпиада Архиповна,ИНБО-01-20,Б,Ж,Ангарск
23И0995,Викторин Андреевич Блохин,ИНБО-01-20,К,М,Сыктывкар
22И4272,Вера Егоровна Колесникова,ИНБО-01-20,Б,Ж,Красноярск
21И7886,Селиван Жоресович Зимин,ИНБО-01-20,К,М,Нижневартовск
22И2232,Антонина Васильевна Волкова,ИНБО-01-20,Б,Ж,Петрозаводск
20И7973,Сильвестр Филиппович Ильин,ИНБО-01-20,Б,М,Смоленск
21И1612,Татьяна Сергеевна Евдокимова,ИНБО-01-20,К,Ж,Брянск
21И7787,Фокин Зосима Дорофеевич,ИНБО-01-20,К,М,Симферополь
21И3239,Никанор Абрамович Быков,ИНБО-01-20,Б,М,Белгород
23И9227,Ферапонт Борисович Никитин,ИНБО-01-20,К,М,Томск
21И6562,Орехова Элеонора Олеговна,ИНБО-01-20,К,Ж,Кострома
22И2496,Зинаида Петровна Ершова,ИНБО-01-20,К,Ж,Калининград
20И4281,Кондрат Яковлевич Исаков,ИНБО-01-20,Б,М,Курск
21И9985,Феофан Димитриевич Щукин,ИНБО-01-20,Б,М,Тольятти
22И5414,Дементьева Ираида Петровна,ИВБО-69-21,К,Ж,Сочи
23И9177,Лаврентьева Лариса Анатольевна,ИВБО-69-21,Б,Ж,Казань
23И5025,Зайцева Евфросиния Никифоровна,ИВБО-69-21,Б,Ж,Челябинск
20И4021,Шарапова Оксана Матвеевна,ИВБО-69-21,Б,Ж,Сочи
23И3168,Марина Вадимовна Молчанова,ИВБО-69-21,К,Ж,Мариуполь
21И5123,Сафонова Ксения Федоровна,ИВБО-69-21,К,Ж,Астрахань
22И0784,Ефрем Авдеевич Блохин,ИВБО-69-21,К,М,Пермь
22И8981,Жанна Эльдаровна Кононова,ИВБО-69-21,Б,Ж,Брянск
20И6868,Алла Егоровна Кулагина,ИВБО-69-21,Б,Ж,Смоленск
20И6141,Емельянова Алевтина Валентиновна,ИВБО-69-21,Б,Ж,Чебоксары
21И2409,Шарапова Фаина Эдуардовна,ИВБО-69-21,К,Ж,Курск
22И5161,г-жа Сидорова Милица Архиповна,ИВБО-69-21,Б,Ж,Сыктывкар
23И8154,Маргарита Альбертовна Дементьева,ИВБО-69-21,Б,Ж,Владикавказ
21И0577,Гостомысл Григорьевич Киселев,ИВБО-69-21,Б,М,Смоленск
23И6092,Сергей Феоктистович Мельников,ИВБО-69-21,К,М,Ставрополь
23И0595,Сидорова Глафира Альбертовна,ИВБО-69-21,К,Ж,Тверь
23И3448,Щербакова Анжелика Робертовна,ИВБО-69-21,Б,Ж,Новороссийск
23И1197,Дроздова Оксана Федоровна,ИВБО-69-21,К,Ж,Ульяновск
20И9176,Никифоров Сократ Евсеевич,ИВБО-69-21,К,М,Томск
22И1933,Ермакова Анастасия Александровна,ИВБО-69-21,Б,Ж,Донецк
21И9686,Мясников Эдуард Демидович,ИВБО-69-21,Б,М,Сыктывкар
22И7958,Волков Афиноген Валерианович,ИВБО-69-21,Б,М,Курск
23И9970,Владимирова Агата Вячеславовна,ИВБО-69-21,К,Ж,Севастополь
23И0515,Агафон Гордеевич Лазарев,ИВБО-69-21,Б,М,Набережные Челны
22И3756,Селиван Ефстафьевич Сидоров,ИВБО-69-21,Б,М,Симферополь
22И7862,Клавдия Геннадьевна Колесникова,ИВБО-69-21,Б,Ж,Курган
23И7409,Игнатьев Святослав Жанович,ИВБО-69-21,К,М,Красноярск
23И4512,Аникей Зиновьевич Рожков,ИВБО-69-21,К,М,Ангарск
23И0927,Венедикт Архипович Емельянов,ИВБО-69-21,Б,М,Москва
22И2034,Гаврила Ефимович Юдин,ИВБО-69-21,Б,М,Оренбург
23И9375,Евсеева Алла Сергеевна,ИКБО-32-21,К,Ж,Рязань
23И5863,Ширяев Зосима Тихонович,ИКБО-32-21,Б,М,Липецк
20И8553,Василиса Болеславовна Макарова,ИКБО-32-21,Б,Ж,Брянск
23И3069,Максимова Анастасия Геннадиевна,ИКБО-32-21,Б,Ж,Ижевск
23И0116,Вера Леонидовна Мартынова,ИКБО-32-21,Б,Ж,Тула
21И7170,Маргарита Ильинична Федосеева,ИКБО-32-21,Б,Ж,Бийск
22И8980,Смирнов Агап Ильич,ИКБО-32-21,Б,М,Липецк
20И5786,Мухин Ефим Владиславович,ИКБО-32-21,К,М,Курск
20И0452,Кулакова Ираида Захаровна,ИКБО-32-21,К,Ж,Ярославль
23И9399,Елисей Жоресович Константинов,ИКБО-32-21,Б,М,Омск
20И8309,Таисия Ивановна Ефимова,ИКБО-32-21,Б,Ж,Мариуполь
23И1615,Аверкий Арсенович Русаков,ИКБО-32-21,Б,М,Ижевск
23И8459,Иванова Анна Феликсовна,ИКБО-32-21,К,Ж,Смоленск
23И2007,Василиса Владимировна Пономарева,ИКБО-32-21,Б,Ж,Владикавказ
23И6967,Валерия Васильевна Силина,ИКБО-32-21,Б,Ж,Воронеж
22И1487,Синклитикия Тарасовна Маркова,ИКБО-32-21,Б,Ж,Луганск
21И6024,Михей Фадеевич Галкин,ИКБО-32-21,К,М,Симферополь
20И7822,Людмила Богдановна Кулагина,ИКБО-32-21,Б,Ж,Санкт-Петербург
22И6963,Эрнст Исидорович Сысоев,ИКБО-32-21,К,М,Самара
22И6830,Федосеева Зинаида Андреевна,ИКБО-32-21,К,Ж,Чебоксары
20И4757,Авдеев Фадей Ануфриевич,ИКБО-32-21,К,М,Набережные Челны
20И2060,Амос Глебович Егоров,ИКБО-32-21,Б,М,Ставрополь
20И1743,Григорий Артёмович Капустин,ИКБО-32-21,К,М,Тула
20И3808,Иванна Егоровна Романова,ИКБО-32-21,Б,Ж,Москва
22И0638,Воронова Надежда Рудольфовна,ИКБО-32-21,К,Ж,Сургут
21И7922,Петрова Александра Валентиновна,ИКБО-32-21,К,Ж,Сургут
21И0038,Белоусова Регина Дмитриевна,ИКБО-32-21,Б,Ж,Набережные Челны
20И3386,Агафонов Георгий Егорович,ИКБО-32-21,К,М,Саратов
21И4711,Матвей Ильясович Смирнов,ИКБО-32-21,К,М,Петрозаводск
22И7656,Гусева Надежда Геннадиевна,ИКБО-32-21,Б,Ж,Набережные Челны
20И3328,Захар Эдуардович Никифоров,ИЛБО-81-22,К,М,Брянск
20И5215,Евпраксия Ивановна Некрасова,ИЛБО-81-22,К,Ж,Белгород
22И8791,Горбачев Ерофей Артемьевич,ИЛБО-81-22,Б,М,Курган
22И7405,Анатолий Иосипович Брагин,ИЛБО-81-22,Б,М,Чебоксары
21И8332,Аникей Витальевич Шилов,ИЛБО-81-22,К,М,Самара
20И1620,Акулина Леоновна Шарова,ИЛБО-81-22,Б,Ж,Ярославль
21И8293,Моисеева Лариса Владиславовна,ИЛБО-81-22,Б,Ж,Курск
23И2087,Иосиф Афанасьевич Горбачев,ИЛБО-81-22,Б,М,Ангарск
20И3369,Галкина Жанна Макаровна,ИЛБО-81-22,К,Ж,Воронеж
20И3163,Федосий Филатович Трофимов,ИЛБО-81-22,К,М,Барнаул
23И8717,Элеонора Александровна Воронцова,ИЛБО-81-22,Б,Ж,Таганрог
21И8458,Цветкова Таисия Робертовна,ИЛБО-81-22,Б,Ж,Пенза
21И1551,Крылов Орест Феликсович,ИЛБО-81-22,Б,М,Красноярск
20И9408,Колобов Капитон Вячеславович,ИЛБО-81-22,К,М,Тюмень
21И7012,Лидия Егоровна Чернова,ИЛБО-81-22,Б,Ж,Красноярск
21И7824,Захар Власович Ершов,ИЛБО-81-22,Б,М,Мурманск
23И6127,Людмила Рудольфовна Горбунова,ИЛБО-81-22,Б,Ж,Нижний Новгород
21И2212,Макарова Александра Мироновна,ИЛБО-81-22,Б,Ж,Петрозаводск
23И9161,Мельникова Зинаида Даниловна,ИЛБО-81-22,К,Ж,Ростов-на-Дону
20И3302,Денис Ефимьевич Якушев,ИЛБО-81-22,К,М,Донецк
20И3443,Костин Бронислав Витальевич,ИЛБО-81-22,К,М,Владимир
20И5271,Мартын Ярославович Елисеев,ИЛБО-81-22,К,М,Челябинск
23И1129,Колесников Спиридон Августович,ИЛБО-81-22,Б,М,Нижний Новгород
21И4624,Майя Мироновна Игнатьева,ИЛБО-81-22,К,Ж,Ставрополь
21И4843,Зыкова Ульяна Аркадьевна,ИЛБО-81-22,К,Ж,Новороссийск
20И9662,Севастьян Адрианович Дмитриев,ИЛБО-81-22,Б,М,Симферополь
21И1412,Никодим Игоревич Павлов,ИЛБО-81-22,К,М,Севастополь
20И5275,Автоном Артурович Смирнов,ИЛБО-81-22,Б,М,Оренбург
20И5495,Елизар Феофанович Григорьев,ИЛБО-81-22,К,М,Луганск
20И6163,Лариса Михайловна Медведева,ИЛБО-81-22,Б,Ж,Тюмень
22И3536,Тихонова Евгения Феликсовна,ИНБО-26-23,Б,Ж,Брянск
22И0299,Авксентий Фадеевич Андреев,ИНБО-26-23,Б,М,Саранск
20И4263,Макарова Полина Павловна,ИНБО-26-23,К,Ж,Ульяновск
23И8861,Нинель Тимофеевна Игнатьева,ИНБО-26-23,Б,Ж,Магнитогорск
21И1743,Горбунов Андрей Димитриевич,ИНБО-26-23,К,М,Красноярск
21И3588,Варлаам Витальевич Молчанов,ИНБО-26-23,К,М,Сыктывкар
23И2444,Герасим Арсенович Давыдов,ИНБО-26-23,К,М,Тюмень
20И9602,Силин Милован Якубович,ИНБО-26-23,Б,М,Новороссийск
20И9926,Тихон Антонович Кузнецов,ИНБО-26-23,Б,М,Ставрополь
22И0288,Мишина Олимпиада Станиславовна,ИНБО-26-23,Б,Ж,Севастополь
22И3387,Дарья Валентиновна Самсонова,ИНБО-26-23,К,Ж,Чита
23И9382,Матвеев Никодим Дорофеевич,ИНБО-26-23,К,М,Пермь
21И5966,Ратибор Эдуардович Петров,ИНБО-26-23,Б,М,Казань
22И2476,Галина Станиславовна Карпова,ИНБО-26-23,К,Ж,Донецк
21И4988,Игнатова Ираида Артемовна,ИНБО-26-23,К,Ж,Ульяновск
21И1027,Ковалева Лариса Юрьевна,ИНБО-26-23,Б,Ж,Киров
20И8438,Аскольд Фокич Киселев,ИНБО-26-23,Б,М,Воронеж
20И4866,Кузнецов Герман Данилович,ИНБО-26-23,Б,М,Смоленск
21И2372,г-н Пахомов Пимен Валерианович,ИНБО-26-23,К,М,Брянск
21И5355,София Натановна Никитина,ИНБО-26-23,Б,Ж,Ульяновск
22И1280,Григорьев Геннадий Жоресович,ИНБО-26-23,Б,М,Москва
20И1952,Ермаков Ерофей Афанасьевич,ИНБО-26-23,Б,М,Архангельск
21И4366,Викторин Гертрудович Одинцов,ИНБО-26-23,К,М,Кострома
22И2952,Суворов Симон Артёмович,ИНБО-26-23,Б,М,Пермь
20И3368,Лазарев Гостомысл Теймуразович,ИНБО-26-23,К,М,Петрозаводск
22И0934,Тихонов Рюрик Алексеевич,ИНБО-26-23,К,М,Мурманск
23И1589,Мартынов Яков Борисович,ИНБО-26-23,К,М,Ижевск
23И4477,Тарасов Парамон Гавриилович,ИНБО-26-23,К,М,Москва
20И5323,Жанна Львовна Большакова,ИНБО-26-23,Б,Ж,Нижний Новгород
22И8504,Фёкла Николаевна Андреева,ИНБО-26-23,Б,Ж,Ангарск
20И3433,Ирина Макаровна Комиссарова,ИМБО-94-21,Б,Ж,Кемерово
22И0710,Евстафий Григорьевич Дементьев,ИМБО-94-21,К,М,Махачкала
20И5954,Изяслав Феликсович Савин,ИМБО-94-21,Б,М,Санкт-Петербург
22И6402,Буров Архип Владиславович,ИМБО-94-21,Б,М,Архангельск
21И8704,Чернова Любовь Евгеньевна,ИМБО-94-21,Б,Ж,Уфа
22И4294,Доронин Харитон Георгиевич,ИМБО-94-21,К,М,Оренбург
20И2816,Адриан Ильич Семенов,ИМБО-94-21,Б,М,Ульяновск
22И9783,Федосеев Тимур Теймуразович,ИМБО-94-21,Б,М,Ангарск
21И6240,Агата Феликсовна Бурова,ИМБО-94-21,К,Ж,Нижний Новгород
22И4042,Синклитикия Петровна Евдокимова,ИМБО-94-21,К,Ж,Набережные Челны
20И5191,Белоусова Акулина Александровна,ИМБО-94-21,К,Ж,Владимир
22И0046,Леонтий Харитонович Сысоев,ИМБО-94-21,Б,М,Махачкала
22И9127,Панфилова Лариса Георгиевна,ИМБО-94-21,К,Ж,Астрахань
21И2226,Шарова Галина Леоновна,ИМБО-94-21,К,Ж,Петрозаводск
21И9389,Трифон Владиславович Моисеев,ИМБО-94-21,Б,М,Луганск
23И8779,Марков Изот Всеволодович,ИМБО-94-21,К,М,Симферополь
21И3997,Фёкла Степановна Селиверстова,ИМБО-94-21,К,Ж,Самара
20И6001,Лапина Мария Робертовна,ИМБО-94-21,К,Ж,Саранск
20И5570,тов. Комарова Марфа Станиславовна,ИМБО-94-21,Б,Ж,Красноярск
20И8196,Богдан Ярославович Носов,ИМБО-94-21,Б,М,Пермь
22И0106,Алла Богдановна Стрелкова,ИМБО-94-21,Б,Ж,Калуга
22И0815,Галина Эдуардовна Терентьева,ИМБО-94-21,К,Ж,Петрозаводск
20И8569,Аггей Ануфриевич Мамонтов,ИМБО-94-21,К,М,Симферополь
21И6481,Чернова Лидия Болеславовна,ИМБО-94-21,Б,Ж,Рязань
23И1379,Зайцева Ирина Игоревна,ИМБО-94-21,Б,Ж,Волгоград
21И2123,Голубева Акулина Тимофеевна,ИМБО-94-21,К,Ж,Казань
20И1000,Валерьян Жоресович Пахомов,ИМБО-94-21,Б,М,Барнаул
22И4296,Константинов Силантий Евстигнеевич,ИМБО-94-21,К,М,Ярославль
20И8171,Трофимова Раиса Филипповна,ИМБО-94-21,К,Ж,Нижневартовск
20И6545,Стрелкова Анна Афанасьевна,ИМБО-94-21,Б,Ж,Набережные Челны
21И0159,Ангелина Владимировна Пахомова,ИМБО-60-23,Б,Ж,Архангельск
20И5398,Любосмысл Викторович Шарапов,ИМБО-60-23,К,М,Кострома
23И6468,Суворов Агафон Игнатьевич,ИМБО-60-23,Б,М,Ростов-на-Дону
23И5569,Наталья Романовна Харитонова,ИМБО-60-23,Б,Ж,Хабаровск
21И5203,Антонина Наумовна Лукина,ИМБО-60-23,Б,Ж,Астрахань
22И0733,Назарова Пелагея Олеговна,ИМБО-60-23,К,Ж,Симферополь
23И6545,Макарова Антонина Альбертовна,ИМБО-60-23,К,Ж,Смоленск
20И7630,Евгения Геннадьевна Терентьева,ИМБО-60-23,Б,Ж,Липецк
21И9084,Феврония Степановна Николаева,ИМБО-60-23,Б,Ж,Уфа
22И8283,София Макаровна Бирюкова,ИМБО-60-23,Б,Ж,Мариуполь
21И7019,Силин Дмитрий Ерофеевич,ИМБО-60-23,Б,М,Кострома
22И0428,Гостомысл Васильевич Комаров,ИМБО-60-23,К,М,Пермь
20И5696,Афанасьев Станимир Адамович,ИМБО-60-23,Б,М,Владикавказ
22И2104,Евгения Святославовна Игнатова,ИМБО-60-23,К,Ж,Магнитогорск
21И8645,Кузьмин Всемил Вячеславович,ИМБО-60-23,Б,М,Тольятти
23И0010,Кошелев Фадей Антонович,ИМБО-60-23,К,М,Пенза
22И5482,Алевтина Леоновна Савельева,ИМБО-60-23,К,Ж,Севастополь
20И7929,Королева Любовь Викторовна,ИМБО-60-23,К,Ж,Пермь
23И5616,Коновалова Марфа Робертовна,ИМБО-60-23,К,Ж,Архангельск
23И4419,Евсеев Климент Валерианович,ИМБО-60-23,К,М,Ярославль
23И8299,Евсеев Феликс Феофанович,ИМБО-60-23,Б,М,Архангельск
20И1849,Амос Ярославович Захаров,ИМБО-60-23,Б,М,Старый Оскол
21И0377,Петр Бенедиктович Яковлев,ИМБО-60-23,К,М,Белгород
21И4155,Маргарита Натановна Мартынова,ИМБО-60-23,К,Ж,Саранск
22И1651,Копылов Тарас Тихонович,ИМБО-60-23,Б,М,Иркутск
21И1253,Клавдия Александровна Брагина,ИМБО-60-23,К,Ж,Пермь
23И4702,Савельев Аполлон Германович,ИМБО-60-23,К,М,Красноярск
23И7035,Нина Константиновна Александрова,ИМБО-60-23,Б,Ж,Владимир
21И6504,Клавдия Валентиновна Сазонова,ИМБО-60-23,Б,Ж,Новосибирск
21И6526,Василиса Рубеновна Тетерина,ИМБО-60-23,Б,Ж,Рязань
21И7534,Шарова Жанна Валентиновна,ИЛБО-86-23,Б,Ж,Санкт-Петербург
20И8637,Евгения Евгеньевна Дементьева,ИЛБО-86-23,Б,Ж,Чита
23И4518,Силантий Филиппович Шарапов,ИЛБО-86-23,Б,М,Барнаул
20И6463,Регина Леонидовна Дорофеева,ИЛБО-86-23,Б,Ж,Чита
